Date,Open,High,Low,Close,Volume,Name,MA_20,RSI_14,MACD,MACD_Signal,Market_Regime,Open_binned,High_binned,Low_binned,Close_binned,Volume_binned
2006-06-13,-1.5629239537595845,-1.559369361244327,-1.5425388531058897,-1.5563387875363137,0.37132482489550556,NKE,-1.5796453884221977,65.33400135567183,-0.002282667265319116,-0.007006715678518484,0,0,0,0,0,3
2006-06-14,-1.5578648572579241,-1.559369361244327,-1.5358130730185877,-1.5412771427118175,0.5987408916990912,NKE,-1.5781325297942277,66.95172426453452,4.867948308384662e-05,-0.005595636646198018,1,0,0,0,0,3
2006-06-15,-1.5394419133901696,-1.5181685430126979,-1.5207764727261686,-1.511546208103239,0.6219149261561234,NKE,-1.5747932660152544,70.51917327857845,0.004246376938692897,-0.003627233929219835,0,0,0,0,0,3
2006-06-16,-1.5162781289552925,-1.5165409248761659,-1.497646900316827,-1.5197530681343132,-0.38801569341153724,NKE,-1.5712663218509366,62.338067225078454,0.006832101188458006,-0.0015353669056842665,1,0,0,0,0,1
2006-06-19,-1.4999226908654617,-1.5214284215150269,-1.507521140316028,-1.5213991786673446,0.07598350912031661,NKE,-1.56669984416656,70.57944013153427,0.008648781157137853,0.0005014627068801571,0,0,0,0,0,2
2006-06-20,-1.5129944963767124,-1.5345302661031346,-1.5207764727261686,-1.5396117888175982,0.5984903080039483,NKE,-1.562258622907987,61.623764265162706,0.008520686520532283,0.0021053074696105825,1,0,0,0,0,3
2006-06-21,-1.5377769057492436,-1.537821429417037,-1.5207764727261686,-1.5279995175713994,0.2191213038085841,NKE,-1.5582823580421854,58.616206756690296,0.009249560662255352,0.0035341581081395363,0,0,0,0,0,3
2006-06-22,-1.5261670488770565,-1.5230606877719757,-1.5141359122088764,-1.5050089700477363,0.5673101139007803,NKE,-1.5535022660841997,62.576791736829385,0.011549211593843367,0.0051371688052803035,1,0,0,0,0,3
2006-06-23,-1.5031812814501786,-1.5035753010204136,-1.4861988385180724,-1.4952497484366853,0.2994280044888037,NKE,-1.548664381437733,78.62402417458588,0.013997830867121808,0.0069093012176486045,0,0,0,0,0,3
2006-06-26,-1.4821106558530999,-1.5035753010204136,-1.478068504945965,-1.4968724212494586,-0.35060033275459657,NKE,-1.5453542182306226,78.66794517739113,0.01562730134554191,0.008652901243227266,1,0,0,0,0,1
